Sweep	g
1062	156.242
1063	156.242
1064	156.242
1065	156.242
1066	156.242
1067	156.242
1068	156.242
1069	156.242
1070	228.765
1071	228.765
1072	228.765
1073	228.765
1074	228.765
1075	295.439
1076	295.439
1077	295.439
1078	207.878
1079	207.878
1080	366.316
1081	286.367
1082	214.14
1083	214.14
1084	214.14
1085	214.14
1086	214.14
1087	486.511
1088	292.707
1089	292.707
1090	292.707
1091	292.707
1092	244.582
1093	235.141
1094	290.976
1095	290.976
1096	290.976
1097	290.976
1098	236.592
1099	236.592
1100	236.592
1101	236.592
1102	236.592
1103	236.592
1104	236.592
1105	236.592
1106	236.592
1107	147.452
1108	214.926
1109	197.619
1110	251.74
1111	117.109
1112	114.453
1113	114.453
1114	149.006
1115	233.21
1116	233.21
1117	233.21
1118	186.832
1119	400.694
1120	319.808
1121	319.808
1122	319.808
1123	319.808
1124	319.808
1125	319.808
1126	245.089
1127	226.53
1128	226.53
1129	159.134
1130	139.175
1131	139.175
1132	139.175
1133	467.835
1134	212.508
1135	116.548
1136	116.548
1137	185.214
1138	185.214
1139	466.644
1140	231.015
1141	321.552
1142	321.552
1143	340.105
1144	1032.36
1145	1032.36
1146	1032.36
1147	1032.36
1148	2009.82
1149	195.392
1150	195.392
1151	195.392
1152	284.138
1153	284.138
1154	294.304
1155	294.304
1156	294.304
1157	191.279
1158	191.279
1159	302.04
1160	302.04
1161	210.174
1162	99.6923
1163	99.6923
1164	147.984
1165	147.984
1166	369.404
1167	358.184
1168	449.689
1169	449.689
1170	449.689
1171	449.689
1172	275.025
1173	275.025
1174	275.025
1175	364.01
1176	256.89
1177	256.89
1178	256.89
1179	318.595
1180	183.885
1181	183.885
1182	295.784
1183	295.784
1184	295.784
1185	226.882
1186	226.882
1187	111.746
1188	235.519
1189	205.304
1190	205.304
1191	205.304
1192	190.317
1193	190.317
1194	190.317
1195	130
1196	130
1197	253.76
1198	426.413
1199	426.413
1200	426.413
1201	426.413
1202	536.75
1203	536.75
1204	296.805
1205	248.194
1206	579.27
1207	203.11
1208	249.964
1209	102.477
1210	141.646
1211	141.646
1212	141.646
1213	141.646
1214	141.646
1215	141.646
1216	159.987
1217	159.987
1218	159.987
1219	294.271
1220	294.271
1221	294.271
1222	483.193
1223	484.399
1224	484.399
1225	484.399
1226	484.399
1227	484.399
1228	484.399
1229	484.399
1230	558.763
1231	446.291
1232	307.803
1233	329.296
1234	343.694
1235	343.694
1236	165.755
1237	153.064
1238	153.064
1239	153.064
1240	153.064
1241	153.064
1242	153.064
1243	153.064
1244	226.004
1245	226.004
1246	475.661
1247	475.661
1248	475.661
1249	167.832
1250	167.832
1251	167.832
1252	541.855
1253	191.903
1254	191.903
1255	317.289
1256	317.289
1257	399.418
1258	399.418
1259	399.418
1260	689.117
1261	807.146
1262	765.379
1263	765.379
1264	765.379
1265	1523.86
1266	1523.86
1267	1026.89
1268	561.846
1269	561.846
1270	561.846
1271	561.846
1272	130.473
1273	130.473
1274	171.089
1275	171.089
1276	171.089
1277	171.089
1278	281.067
1279	231.683
1280	231.683
1281	306.672
1282	306.672
1283	306.672
1284	293.291
1285	293.291
1286	409.03
1287	138.826
1288	138.826
1289	138.826
1290	404.798
1291	325.54
1292	692.958
1293	560.646
1294	321.191
1295	361.472
1296	361.472
1297	212.844
1298	219.308
1299	311.526
1300	311.526
1301	143.423
1302	143.423
1303	312.402
1304	179.554
1305	179.554
1306	179.554
1307	149.113
1308	149.113
1309	393.925
1310	574.657
1311	558.801
1312	558.801
1313	200.456
1314	311.432
1315	439.427
1316	563.016
1317	519.791
1318	267.272
1319	594.652
1320	594.652
1321	594.652
1322	540.843
1323	540.843
1324	540.843
1325	311.873
1326	374.985
1327	158.544
1328	385.873
1329	385.873
1330	327.149
1331	346.217
1332	281.007
1333	281.007
1334	263.108
1335	263.108
1336	223.479
1337	245.425
1338	245.425
1339	245.425
1340	370.954
1341	370.954
1342	260.601
1343	505.806
1344	441.075
1345	441.075
1346	441.075
1347	447.659
1348	577.341
1349	577.341
1350	354.763
1351	189.659
1352	189.659
1353	222.063
1354	357.116
1355	357.116
1356	357.116
1357	357.116
1358	323.638
1359	323.638
1360	158.23
1361	158.23
1362	158.23
1363	412.613
1364	172.661
1365	114.258
1366	188.181
1367	188.181
1368	188.181
1369	229.569
1370	229.569
1371	229.569
1372	229.569
1373	209.903
1374	209.903
1375	207.897
1376	346.672
1377	346.672
1378	346.672
1379	346.672
1380	268.131
1381	322.62
1382	322.62
1383	322.62
1384	322.62
1385	373.993
1386	160.931
1387	385.617
1388	211.341
1389	476.222
1390	784.45
1391	784.45
1392	307.176
1393	307.176
1394	637.567
1395	594.96
1396	293.563
1397	293.563
1398	293.563
1399	293.563
1400	293.563
1401	180.292
1402	180.292
1403	302.751
1404	302.751
1405	302.751
1406	302.751
1407	251.788
1408	247.507
1409	190.35
1410	196.216
1411	196.216
1412	196.216
1413	196.216
1414	255.294
1415	255.294
1416	255.294
1417	194.371
1418	181.697
1419	181.697
1420	147.709
1421	168.633
1422	168.633
1423	168.633
1424	168.633
1425	321.262
1426	140.457
1427	295.026
1428	249.732
1429	165.349
1430	174.367
1431	174.367
1432	174.367
1433	174.367
1434	174.367
1435	174.367
1436	178.671
1437	178.671
1438	178.671
1439	178.671
1440	331.945
1441	166.101
1442	163.949
1443	185.192
1444	185.192
1445	175.138
1446	175.138
1447	158.462
1448	160.273
1449	160.273
1450	160.273
1451	160.273
1452	160.273
1453	149.977
1454	149.977
1455	149.977
1456	315.973
1457	509.386
1458	668.694
1459	395.164
1460	395.164
1461	311.799
1462	311.799
1463	687.377
1464	2074.35
1465	1962.4
1466	582.538
1467	608.367
1468	608.367
1469	182.788
1470	182.788
1471	182.788
1472	182.788
1473	304.432
1474	304.432
1475	522.698
1476	185.347
1477	354.774
1478	158.462
1479	158.462
1480	179.535
1481	584.141
1482	327.788
1483	327.788
1484	327.788
1485	327.788
1486	283.129
1487	283.129
1488	187.565
1489	187.565
1490	320.77
1491	320.77
1492	320.77
1493	320.77
1494	329.266
1495	329.266
1496	329.266
1497	329.266
1498	329.266
1499	103.122
1500	103.122
1501	103.122
1502	103.122
1503	143.043
1504	143.043
1505	143.043
1506	143.043
1507	143.043
1508	143.043
1509	280.717
1510	280.717
1511	480.02
1512	480.02
1513	480.02
1514	157.225
1515	157.225
1516	300.943
1517	300.943
1518	300.943
1519	559.33
1520	273.503
1521	318.415
1522	322.285
1523	195.247
1524	238.474
1525	238.474
1526	238.474
1527	354.332
1528	354.332
1529	303.189
1530	259.344
1531	259.344
1532	259.344
1533	285.228
1534	285.228
1535	285.228
1536	285.228
1537	285.228
1538	419.276
1539	378.329
1540	378.329
1541	305.214
1542	252.104
1543	243.824
1544	423.984
1545	423.984
1546	423.984
1547	423.984
1548	423.984
1549	328.3
1550	349.841
1551	349.841
1552	139.697
1553	154.224
1554	289.648
1555	215.165
1556	271.078
1557	271.078
1558	267.617
1559	267.617
1560	267.617
1561	187.017
1562	295.941
1563	295.941
1564	295.941
1565	617.376
1566	514.57
1567	369.76
1568	369.76
1569	156.289
1570	156.289
1571	156.289
1572	156.289
1573	286.341
1574	353.511
1575	353.511
1576	245.369
1577	472.399
1578	472.399
1579	472.399
1580	472.399
1581	107.996
1582	107.996
1583	107.996
1584	107.996
1585	107.996
1586	220.655
1587	220.655
1588	401.143
1589	401.143
1590	129.446
1591	240.835
1592	97.3661
1593	355.824
1594	355.824
1595	132.8
1596	221.219
1597	221.219
1598	221.219
1599	221.219
1600	221.219
1601	221.219
1602	221.219
1603	240.036
1604	240.036
1605	240.036
1606	240.036
1607	240.036
1608	240.036
1609	240.036
1610	757.005
1611	757.005
1612	576.426
1613	576.426
1614	290.487
1615	196.77
1616	196.77
1617	196.77
1618	164.762
1619	238.406
1620	238.406
1621	278.092
1622	278.092
1623	278.092
1624	278.092
1625	278.092
1626	278.092
1627	271.068
1628	271.068
1629	110.409
1630	110.409
1631	110.409
1632	110.409
1633	291.082
1634	269.423
1635	269.423
1636	269.423
1637	269.423
1638	539.2
1639	300.344
1640	300.344
1641	526.473
1642	161.366
1643	322.536
1644	322.536
1645	322.536
1646	322.536
1647	433.96
1648	433.96
1649	333.731
1650	333.731
1651	333.731
1652	403.327
1653	403.327
1654	403.327
1655	792.444
1656	792.444
1657	179.667
1658	167.59
1659	167.59
1660	167.59
1661	443.829
1662	443.829
1663	443.829
1664	521.062
1665	521.062
1666	521.062
1667	521.062
1668	150.865
1669	150.865
1670	150.865
1671	336.45
1672	256.328
1673	256.328
1674	636.068
1675	153.361
1676	153.361
1677	153.361
1678	153.361
1679	602.914
1680	712.328
1681	712.328
1682	712.328
1683	712.328
1684	712.328
1685	712.328
1686	316.547
1687	231.484
1688	231.484
