Sweep	Acceptance_rate	log_proposal_std
48900	0.43	0.138629
49000	0.36	0.110904
49100	0.45	0.138629
49200	0.38	0.110904
49300	0.44	0.138629
49400	0.35	0.110904
49500	0.47	0.138629
49600	0.35	0.110904
49700	0.34	0.0831777
49800	0.47	0.110904
49900	0.4	0.0831777
50000	0.39	0.0554518
50100	0.47	0.0831777
50200	0.53	0.110904
50300	0.42	0.0831777
50400	0.49	0.110904
50500	0.45	0.138629
50600	0.53	0.166355
50700	0.4	0.138629
50800	0.37	0.110904
50900	0.35	0.0831777
51000	0.43	0.0554518
51100	0.47	0.0831777
51200	0.41	0.0554518
51300	0.43	0.0277259
51400	0.49	0.0554518
51500	0.48	0.0831777
51600	0.46	0.110904
51700	0.4	0.0831777
51800	0.4	0.0554518
51900	0.4	0.0277259
52000	0.46	0.0554518
52100	0.39	0.0277259
52200	0.5	0.0554518
52300	0.37	0.0277259
52400	0.34	1.38778e-17
52500	0.55	0.0277259
52600	0.41	1.38778e-17
52700	0.58	0.0277259
52800	0.46	0.0554518
52900	0.48	0.0831777
53000	0.4	0.0554518
53100	0.42	0.0277259
53200	0.42	1.38778e-17
53300	0.45	0.0277259
53400	0.51	0.0554518
53500	0.42	0.0277259
53600	0.52	0.0554518
53700	0.47	0.0831777
53800	0.5	0.110904
53900	0.47	0.138629
54000	0.42	0.110904
54100	0.43	0.0831777
54200	0.45	0.110904
54300	0.43	0.0831777
54400	0.44	0.110904
54500	0.4	0.0831777
54600	0.47	0.110904
54700	0.47	0.138629
54800	0.42	0.110904
54900	0.35	0.0831777
55000	0.46	0.110904
