Sweep	Chain_1	Chain_2	Chain_3	
42849	-3523.119514714	-3531.044147024	-3536.521216623	
42850	-3523.119514714	-3531.044147024	-3536.521216623	
42851	-3523.119514714	-3531.044147024	-3536.521216623	
42852	-3522.654295653	-3520.177054891	-3549.914429921	
42853	-3520.177054891	-3522.654295653	-3549.914429921	
42854	-3520.177054891	-3539.31640977	-3540.145546954	
42855	-3520.177054891	-3534.38188374	-3543.363163915	
42856	-3524.60982593	-3532.254762548	-3542.894079146	
42857	-3520.159961452	-3520.159961452	-3546.797591275	
42858	-3520.159961452	-3520.159961452	-3546.797591275	
42859	-3522.72853397	-3530.974401154	-3535.717071278	
42860	-3522.797323616	-3531.13586	-3535.925217459	
42861	-3522.797323616	-3535.925217459	-3531.13586	
42862	-3520.183172233	-3527.629052633	-3532.062547758	
42863	-3520.183172233	-3527.629052633	-3532.062547758	
42864	-3520.183172233	-3527.629052633	-3532.062547758	
42865	-3520.313747509	-3532.328845886	-3528.517146125	
42866	-3523.038946778	-3524.664044631	-3533.859613594	
42867	-3522.679064037	-3524.298642125	-3532.804342048	
42868	-3520.616491343	-3520.616491343	-3533.54482754	
42869	-3520.616491343	-3523.955094686	-3537.706248276	
42870	-3520.443342423	-3523.705687299	-3537.226068232	
42871	-3520.443342423	-3523.705687299	-3537.226068232	
42872	-3520.443342423	-3533.320296806	-3524.627130709	
42873	-3520.443342423	-3524.627130709	-3533.320296806	
42874	-3524.447754323	-3520.327023144	-3533.014472866	
42875	-3520.327023144	-3524.447754323	-3533.014472866	
42876	-3520.264242402	-3524.34289711	-3537.3548815	
42877	-3520.203711149	-3524.229069054	-3537.080434226	
42878	-3523.308650881	-3527.144167877	-3540.276966495	
42879	-3520.477213863	-3527.569322481	-3541.298665083	
42880	-3520.166401054	-3526.803297647	-3539.84270604	
42881	-3520.166401054	-3526.803297647	-3539.84270604	
42882	-3520.341892421	-3523.084077897	-3542.604566535	
42883	-3520.341892421	-3523.084077897	-3542.604566535	
42884	-3520.874788975	-3523.088317014	-3539.913011089	
42885	-3527.347364875	-3532.007655767	-3538.176742553	
42886	-3527.260831987	-3537.864601213	-3531.845117178	
42887	-3527.577311999	-3538.729727273	-3532.346239666	
42888	-3522.744687899	-3523.252535212	-3539.48137791	
42889	-3522.744687899	-3523.252535212	-3539.48137791	
42890	-3520.328462818	-3523.0626925	-3528.00223209	
42891	-3520.271857144	-3522.969091838	-3527.871011985	
42892	-3523.594171327	-3531.908045179	-3543.134471512	
42893	-3520.346136351	-3534.217595445	-3541.161219081	
