Sweep	n_mod	n_accept	n_mod_0_1	n_accept_0_1	n_mod_1_0	n_accept_1_0
1235	16	5	6	1	10	4
1236	13	3	6	2	7	1
1237	15	4	7	1	8	3
1238	11	2	5	1	6	1
1239	16	3	11	3	5	0
1240	11	2	3	0	8	2
1241	15	5	9	3	6	2
1242	18	6	10	3	8	3
1245	15	4	8	2	7	2
1247	18	8	10	5	8	3
1250	18	8	8	3	10	5
1252	15	3	8	2	7	1
1254	14	7	6	2	8	5
1256	17	2	10	1	7	1
1258	11	1	5	1	6	0
1260	20	6	13	5	7	1
1262	18	8	9	3	9	5
1264	12	3	4	0	8	3
1266	13	3	6	2	7	1
1267	18	6	11	4	7	2
1268	16	6	7	2	9	4
1269	13	3	5	1	8	2
1271	11	2	6	1	5	1
1277	12	6	8	4	4	2
1279	12	4	4	1	8	3
1283	10	2	4	1	6	1
1284	10	3	5	2	5	1
1286	10	3	2	1	8	2
1287	10	1	4	0	6	1
1288	12	4	7	4	5	0
1289	12	6	6	3	6	3
1293	17	9	8	5	9	4
1294	19	9	10	5	9	4
1298	16	6	8	3	8	3
1299	19	10	9	5	10	5
1303	13	5	6	2	7	3
1305	14	6	4	1	10	5
1307	19	6	12	5	7	1
1308	16	8	7	4	9	4
1309	13	8	5	4	8	4
1311	12	4	4	2	8	2
1313	14	4	5	1	9	3
1314	19	10	11	7	8	3
1316	22	10	11	4	11	6
1318	10	4	2	0	8	4
1320	15	4	10	4	5	0
1323	21	8	10	3	11	5
1327	16	5	8	3	8	2
1329	12	4	5	2	7	2
1332	15	4	6	1	9	3
1335	15	5	7	3	8	2
1336	11	4	3	2	8	2
1338	17	8	9	5	8	3
1341	19	9	11	6	8	3
1343	18	9	6	2	12	7
1344	11	5	3	2	8	3
1345	18	6	11	5	7	1
1346	16	8	5	3	11	5
1349	19	7	11	5	8	2
1350	17	10	10	7	7	3
1352	21	12	7	3	14	9
1355	18	9	9	4	9	5
1356	17	6	10	3	7	3
1357	23	10	15	7	8	3
1358	15	11	5	4	10	7
1359	18	6	9	3	9	3
1361	16	5	5	0	11	5
1362	14	4	8	3	6	1
1363	15	7	9	6	6	1
1368	17	10	8	5	9	5
1370	19	11	6	3	13	8
1371	19	6	12	4	7	2
1373	16	6	6	2	10	4
1374	13	7	6	5	7	2
1375	19	8	10	4	9	4
1377	17	6	8	4	9	2
1380	20	8	8	3	12	5
1387	17	7	9	4	8	3
1389	15	7	7	4	8	3
1390	20	9	11	3	9	6
1391	15	6	7	3	8	3
1392	12	6	4	3	8	3
1393	20	10	12	7	8	3
1394	21	10	13	6	8	4
1395	17	9	6	2	11	7
1397	15	6	6	2	9	4
1399	14	7	8	4	6	3
1401	18	7	9	3	9	4
1403	12	4	6	2	6	2
1404	13	6	7	5	6	1
1410	19	8	10	4	9	4
1411	18	9	6	2	12	7
1412	12	3	5	1	7	2
1413	12	5	5	4	7	1
1420	12	7	6	4	6	3
1421	15	8	6	4	9	4
1422	16	8	6	4	10	4
1425	9	3	2	0	7	3
1426	15	9	7	6	8	3
1427	16	7	8	3	8	4
1428	17	10	8	6	9	4
1430	16	8	7	3	9	5
1432	16	7	9	4	7	3
1436	21	8	10	3	11	5
1437	14	4	7	3	7	1
1441	18	10	8	5	10	5
1442	13	6	7	3	6	3
1445	18	8	10	3	8	5
1446	14	9	7	6	7	3
1448	14	7	5	2	9	5
1449	14	5	5	2	9	3
1452	15	5	9	4	6	1
1453	14	7	9	5	5	2
1455	24	11	10	4	14	7
1458	14	6	5	2	9	4
1463	20	7	11	5	9	2
1465	12	6	4	2	8	4
1468	17	9	7	4	10	5
1471	14	6	8	4	6	2
1472	17	6	10	3	7	3
1473	13	8	5	3	8	5
1474	16	5	7	2	9	3
1475	15	6	10	6	5	0
1476	17	9	5	2	12	7
1477	15	4	7	2	8	2
1478	10	3	3	0	7	3
1482	13	3	8	3	5	0
1484	19	8	11	5	8	3
1488	15	7	7	4	8	3
1489	20	8	9	2	11	6
1490	15	3	8	2	7	1
1492	11	2	5	2	6	0
1493	18	8	9	4	9	4
1494	21	8	10	3	11	5
1495	13	5	6	3	7	2
1496	18	8	10	5	8	3
1497	18	9	10	4	8	5
1501	18	6	9	4	9	2
1502	20	10	12	5	8	5
1503	18	9	8	3	10	6
1504	14	6	4	2	10	4
1505	14	6	7	4	7	2
1506	17	7	7	3	10	4
1507	15	5	7	2	8	3
1508	10	3	3	2	7	1
1509	18	8	12	7	6	1
1512	18	8	10	3	8	5
1514	19	12	8	7	11	5
1515	18	10	7	4	11	6
1516	20	13	10	7	10	6
1517	15	9	5	3	10	6
1518	20	8	10	4	10	4
1523	14	4	6	0	8	4
1524	10	5	7	5	3	0
1527	15	6	7	3	8	3
1531	16	9	8	5	8	4
1532	20	8	10	3	10	5
1533	14	7	7	3	7	4
1536	18	7	11	5	7	2
1537	13	5	5	0	8	5
1538	11	5	5	3	6	2
1542	23	8	16	6	7	2
1543	16	8	5	2	11	6
1545	10	3	4	2	6	1
1546	22	13	12	9	10	4
1547	17	9	5	3	12	6
1548	21	9	9	4	12	5
1549	16	8	8	5	8	3
1550	19	7	9	3	10	4
1551	13	7	5	2	8	5
1553	14	8	6	4	8	4
1556	24	12	15	8	9	4
1558	15	12	7	5	8	7
1559	18	9	7	4	11	5
1560	14	3	6	1	8	2
1565	7	3	2	2	5	1
1566	16	6	6	3	10	3
1567	23	14	14	10	9	4
1568	19	11	7	3	12	8
1569	16	5	6	1	10	4
1570	18	5	11	3	7	2
1573	14	6	7	3	7	3
1585	14	6	5	2	9	4
1586	13	4	6	3	7	1
1587	14	5	8	3	6	2
1588	20	11	13	7	7	4
1589	13	7	3	1	10	6
1591	14	5	7	4	7	1
1593	15	7	6	3	9	4
1594	15	8	10	6	5	2
1600	16	8	4	1	12	7
1602	13	5	5	3	8	2
1606	17	5	11	4	6	1
1607	15	8	6	4	9	4
1608	18	9	8	5	10	4
1610	24	16	14	9	10	7
1611	20	11	7	3	13	8
1615	10	5	6	3	4	2
1616	15	7	8	4	7	3
1619	17	8	10	5	7	3
1620	19	9	8	3	11	6
1621	17	11	8	6	9	5
1623	18	7	6	2	12	5
1624	16	5	9	2	7	3
1630	13	5	5	3	8	2
1632	14	5	7	2	7	3
1633	13	5	6	4	7	1
1635	15	5	6	1	9	4
1637	12	2	5	1	7	1
1638	16	5	9	3	7	2
1640	16	6	8	3	8	3
1643	16	7	8	4	8	3
1645	22	12	17	10	5	2
1646	19	10	9	3	10	7
1648	16	9	8	3	8	6
1652	15	9	8	5	7	4
1656	15	5	7	1	8	4
1658	12	3	6	2	6	1
1661	11	3	3	1	8	2
1664	15	8	9	5	6	3
