Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
1584	2	2	1	2
1586	2	2	2	1
1587	2	2	2	1
1588	3	4	2	1
1593	2	2	1	2
1595	2	2	1	3
1597	3	5	2	1
1601	3	2	1	2
1603	3	1	1	2
1604	3	2	2	1
1609	2	2	1	2
1614	3	2	2	1
1616	1	1	1	3
1619	3	1	3	1
1624	2	2	1	2
1625	1	1	1	2
1626	3	1	1	2
1628	3	4	2	1
1629	1	1	2	1
1633	1	1	2	1
1635	2	2	2	1
1639	2	2	2	1
1641	3	2	1	2
1642	2	2	2	1
1644	1	1	2	1
1646	2	2	1	3
1647	2	2	3	1
1658	2	2	1	2
1659	3	1	1	2
1663	3	1	1	2
1669	2	2	1	2
1671	1	1	2	1
1673	2	2	1	2
1679	3	2	1	2
1682	1	1	1	2
1683	3	1	1	2
1684	2	2	2	1
1685	1	1	2	1
1688	1	1	1	2
1689	2	2	2	1
1690	1	1	1	2
1691	2	2	1	2
1693	1	1	1	2
1697	1	1	3	1
1698	2	2	1	2
1702	2	2	1	3
1703	2	2	1	3
1708	1	1	1	2
1709	2	2	1	2
1710	1	1	1	2
1714	2	2	1	3
1716	3	4	1	2
1717	2	2	1	2
1719	2	2	1	2
1720	2	2	1	2
1721	2	2	2	1
1722	2	2	1	2
1725	2	2	1	2
1726	3	2	1	2
1729	2	2	1	2
1731	3	2	1	2
1732	2	2	1	2
1740	1	1	2	1
1744	3	2	1	2
1745	2	2	1	2
1746	2	2	1	2
1747	1	1	1	2
1751	3	1	1	2
1752	3	1	1	2
1753	1	1	2	1
1757	1	1	1	3
1758	1	1	2	3
1763	3	1	1	3
1765	3	2	1	2
1769	3	5	1	2
1771	2	2	1	2
1779	3	2	2	1
1780	1	1	1	2
1785	3	2	1	3
1789	3	1	1	2
1791	1	1	2	1
1793	2	2	1	2
1796	1	1	1	2
1797	1	1	1	2
1798	2	2	1	2
1799	1	1	1	2
1800	3	2	1	2
1801	2	2	2	1
1802	2	2	1	2
1804	1	1	1	2
1805	2	2	1	2
1808	1	1	1	2
1810	3	1	1	3
1811	2	2	1	3
1814	2	2	1	3
1817	2	2	1	2
1825	1	1	1	2
1826	1	1	2	1
1829	3	1	1	2
1830	3	5	1	2
1831	2	2	2	1
1832	2	2	2	1
1836	3	2	1	2
1837	3	2	1	2
1851	2	2	1	2
1853	3	4	1	2
1854	1	1	1	2
1858	1	1	1	2
1859	3	1	3	2
1860	1	1	1	2
1861	3	2	1	2
1862	3	1	1	3
1866	2	2	1	2
1871	3	1	1	2
1874	2	2	1	2
1876	2	2	1	2
1878	2	2	1	2
1884	2	2	2	1
1893	3	1	1	2
1894	1	1	2	1
1898	3	5	2	1
1901	1	1	2	1
1904	3	5	1	2
1907	1	1	1	3
1909	3	1	1	2
1911	1	1	1	2
1918	3	1	1	2
1919	3	1	1	2
1920	3	5	1	2
1921	1	1	1	2
1929	3	2	1	2
1935	3	1	1	2
1939	3	2	1	2
